,BusinessEntityID,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,VacationHours,SickLeaveHours,Rate,DepartmentID
0,1,Chief Executive Officer,1969-01-29,S,M,2009-01-14,99,69,125.5,Executive
1,2,Vice President of Engineering,1971-08-01,S,F,2008-01-31,1,20,63.4615,Engineering
2,3,Engineering Manager,1974-11-12,M,M,2007-11-11,2,21,43.2692,Engineering
3,4,Senior Tool Designer,1974-12-23,S,M,2007-12-05,48,80,8.62,Engineering
4,4,Senior Tool Designer,1974-12-23,S,M,2007-12-05,48,80,8.62,ToolDesign
5,4,Senior Tool Designer,1974-12-23,S,M,2007-12-05,48,80,23.72,Engineering
6,4,Senior Tool Designer,1974-12-23,S,M,2007-12-05,48,80,23.72,ToolDesign
7,4,Senior Tool Designer,1974-12-23,S,M,2007-12-05,48,80,29.8462,Engineering
8,4,Senior Tool Designer,1974-12-23,S,M,2007-12-05,48,80,29.8462,ToolDesign
9,5,Design Engineer,1952-09-27,M,F,2008-01-06,5,22,32.6923,Engineering
10,6,Design Engineer,1959-03-11,M,M,2008-01-24,6,23,32.6923,Engineering
11,7,Research and Development Manager,1987-02-24,M,M,2009-02-08,61,50,50.4808,ResearchandDevelopment
12,8,Research and Development Engineer,1986-06-05,S,F,2008-12-29,62,51,40.8654,ResearchandDevelopment
13,9,Research and Development Engineer,1979-01-21,M,F,2009-01-16,63,51,40.8654,ResearchandDevelopment
14,10,Research and Development Manager,1984-11-30,M,M,2009-05-03,16,64,42.4808,ResearchandDevelopment
15,11,Senior Tool Designer,1978-01-17,S,M,2010-12-05,7,23,28.8462,ToolDesign
16,12,Tool Designer,1959-07-29,M,M,2007-12-11,9,24,25.0,ToolDesign
17,13,Tool Designer,1989-05-28,M,F,2010-12-23,8,24,25.0,ToolDesign
18,14,Senior Design Engineer,1979-06-16,S,M,2010-12-30,3,21,36.0577,Engineering
19,15,Design Engineer,1961-05-02,M,F,2011-01-18,4,22,32.6923,Engineering
20,16,Marketing Manager,1975-03-19,S,M,2007-12-20,40,40,24.0,Purchasing
21,16,Marketing Manager,1975-03-19,S,M,2007-12-20,40,40,24.0,Marketing
22,16,Marketing Manager,1975-03-19,S,M,2007-12-20,40,40,28.75,Purchasing
23,16,Marketing Manager,1975-03-19,S,M,2007-12-20,40,40,28.75,Marketing
24,16,Marketing Manager,1975-03-19,S,M,2007-12-20,40,40,37.5,Purchasing
25,16,Marketing Manager,1975-03-19,S,M,2007-12-20,40,40,37.5,Marketing
26,17,Marketing Assistant,1987-05-03,S,M,2007-01-26,42,41,13.4615,Marketing
27,18,Marketing Specialist,1978-03-06,S,M,2011-02-07,48,44,14.4231,Marketing
28,19,Marketing Assistant,1978-01-29,S,F,2011-02-14,43,41,13.4615,Marketing
29,20,Marketing Assistant,1975-03-17,M,F,2011-01-07,41,40,13.4615,Marketing
30,21,Marketing Specialist,1986-02-04,M,M,2009-03-02,44,42,14.4231,Marketing
31,22,Marketing Specialist,1987-05-21,S,M,2008-12-12,45,42,14.4231,Marketing
32,23,Marketing Specialist,1962-09-13,M,F,2009-01-12,46,43,14.4231,Marketing
33,24,Marketing Specialist,1979-06-18,M,F,2009-01-18,47,43,14.4231,Marketing
